,County_Name,FIPS_Code,Population,Bedroom_Size
0,0,48027,342236,4
1,0,48027,342236,5
2,0,48027,342236,0
3,0,48027,342236,1
4,0,48027,342236,2
5,0,48027,342236,3
6,1,48029,1925865,4
7,1,48029,1925865,5
8,1,48029,1925865,0
9,1,48029,1925865,1
10,1,48029,1925865,2
11,1,48029,1925865,3
12,2,48039,353999,4
13,2,48039,353999,5
14,2,48039,353999,0
15,2,48039,353999,1
16,2,48039,353999,2
17,2,48039,353999,3
18,3,48041,219193,4
19,3,48041,219193,5
20,3,48041,219193,0
21,3,48041,219193,1
22,3,48041,219193,2
23,3,48041,219193,3
24,4,48061,421750,4
25,4,48061,421750,5
26,4,48061,421750,0
27,4,48061,421750,1
28,4,48061,421750,2
29,4,48061,421750,3
30,5,48085,944350,4
31,5,48085,944350,5
32,5,48085,944350,0
33,5,48085,944350,1
34,5,48085,944350,2
35,5,48085,944350,3
36,6,48091,135097,4
37,6,48091,135097,5
38,6,48091,135097,0
39,6,48091,135097,1
40,6,48091,135097,2
41,6,48091,135097,3
42,7,48113,2586552,4
43,7,48113,2586552,5
44,7,48113,2586552,0
45,7,48113,2586552,1
46,7,48113,2586552,2
47,7,48113,2586552,3
48,8,48121,807047,4
49,8,48121,807047,5
50,8,48121,807047,0
51,8,48121,807047,1
52,8,48121,807047,2
53,8,48121,807047,3
54,9,48135,158342,4
55,9,48135,158342,5
56,9,48135,158342,0
57,9,48135,158342,1
58,9,48135,158342,2
59,9,48135,158342,3
60,11,48139,168838,4
61,11,48139,168838,5
62,11,48139,168838,0
63,11,48139,168838,1
64,11,48139,168838,2
65,11,48139,168838,3
66,10,48141,837654,4
67,10,48141,837654,5
68,10,48141,837654,0
69,10,48141,837654,1
70,10,48141,837654,2
71,10,48141,837654,3
72,12,48157,739342,4
73,12,48157,739342,5
74,12,48157,739342,0
75,12,48157,739342,1
76,12,48157,739342,2
77,12,48157,739342,3
78,13,48167,327089,4
79,13,48167,327089,5
80,13,48167,327089,0
81,13,48167,327089,1
82,13,48167,327089,2
83,13,48167,327089,3
84,14,48181,128560,4
85,14,48181,128560,5
86,14,48181,128560,0
87,14,48181,128560,1
88,14,48181,128560,2
89,14,48181,128560,3
90,15,48183,123494,4
91,15,48183,123494,5
92,15,48183,123494,0
93,15,48183,123494,1
94,15,48183,123494,2
95,15,48183,123494,3
96,16,48201,4602523,4
97,16,48201,4602523,5
98,16,48201,4602523,0
99,16,48201,4602523,1
100,16,48201,4602523,2
101,16,48201,4602523,3
102,17,48209,204150,4
103,17,48209,204150,5
104,17,48209,204150,0
105,17,48209,204150,1
106,17,48209,204150,2
107,17,48209,204150,3
108,18,48215,849389,4
109,18,48215,849389,5
110,18,48215,849389,0
111,18,48215,849389,1
112,18,48215,849389,2
113,18,48215,849389,3
114,19,48245,255210,4
115,19,48245,255210,5
116,19,48245,255210,0
117,19,48245,255210,1
118,19,48245,255210,2
119,19,48245,255210,3
120,20,48251,163475,4
121,20,48251,163475,5
122,20,48251,163475,0
123,20,48251,163475,1
124,20,48251,163475,2
125,20,48251,163475,3
126,21,48303,301454,4
127,21,48303,301454,5
128,21,48303,301454,0
129,21,48303,301454,1
130,21,48303,301454,2
131,21,48303,301454,3
132,22,48309,248429,4
133,22,48309,248429,5
134,22,48309,248429,0
135,22,48309,248429,1
136,22,48309,248429,2
137,22,48309,248429,3
138,23,48329,164194,4
139,23,48329,164194,5
140,23,48329,164194,0
141,23,48329,164194,1
142,23,48329,164194,2
143,23,48329,164194,3
144,24,48339,554445,4
145,24,48339,554445,5
146,24,48339,554445,0
147,24,48339,554445,1
148,24,48339,554445,2
149,24,48339,554445,3
150,25,48355,360486,4
151,25,48355,360486,5
152,25,48355,360486,0
153,25,48355,360486,1
154,25,48355,360486,2
155,25,48355,360486,3
156,26,48367,129802,4
157,26,48367,129802,5
158,26,48367,129802,0
159,26,48367,129802,1
160,26,48367,129802,2
161,26,48367,129802,3
162,27,48381,132475,4
163,27,48381,132475,5
164,27,48381,132475,0
165,27,48381,132475,1
166,27,48381,132475,2
167,27,48381,132475,3
168,28,48397,93642,4
169,28,48397,93642,5
170,28,48397,93642,0
171,28,48397,93642,1
172,28,48397,93642,2
173,28,48397,93642,3
174,29,48423,225015,4
175,29,48423,225015,5
176,29,48423,225015,0
177,29,48423,225015,1
178,29,48423,225015,2
179,29,48423,225015,3
180,30,48439,2019977,4
181,30,48439,2019977,5
182,30,48439,2019977,0
183,30,48439,2019977,1
184,30,48439,2019977,2
185,30,48439,2019977,3
186,31,48441,136348,4
187,31,48441,136348,5
188,31,48441,136348,0
189,31,48441,136348,1
190,31,48441,136348,2
191,31,48441,136348,3
192,32,48451,117466,4
193,32,48451,117466,5
194,32,48451,117466,0
195,32,48451,117466,1
196,32,48451,117466,2
197,32,48451,117466,3
198,33,48453,1203166,4
199,33,48453,1203166,5
200,33,48453,1203166,0
201,33,48453,1203166,1
202,33,48453,1203166,2
203,33,48453,1203166,3
204,34,48469,91970,4
205,34,48469,91970,5
206,34,48469,91970,0
207,34,48469,91970,1
208,34,48469,91970,2
209,34,48469,91970,3
210,35,48491,527057,4
211,35,48491,527057,5
212,35,48491,527057,0
213,35,48491,527057,1
214,35,48491,527057,2
215,35,48491,527057,3
