index,year,total,male,female
1,1978,24575,23570,1005
2,1979,26522,25355,1167
3,1980,29892,28671,1221
4,1981,31502,30050,1452
5,1982,36149,34472,1677
6,1983,35259,33789,1470
7,1984,36682,34987,1695
8,1985,37532,35938,1594
9,1986,38534,36789,1745
10,1987,38821,37279,1542
11,1988,40437,38789,1648
12,1989,44022,41953,2069
13,1990,50042,47846,2196
14,1991,51677,49186,2491
15,1992,60467,58056,2411
16,1993,92013,85064,6949
17,1994,118195,109356,8839
18,1995,127766,119831,7935
19,1996,132383,122450,9933
20,1997,140351,130051,10300
21,1998,144510,134178,10332
22,1999,163190,150688,12502
23,2000,166719,153097,13622
24,2001,162070,149701,12369
25,2002,162003,148952,13051
26,2003,166911,153424,13487
27,2004,168105,154147,13958
28,2005,169003,155497,13506
29,2006,172116,158317,13799
30,2007,171790,157859,13931
31,2008,172506,158653,13853
32,2009,171249,157679,13570
33,2010,173649,159298,14351
34,2011,172224,158036,14188
35,2012,166372,152823,13549
36,2013,168280,154450,13830
37,2014,166043,151717,14326
38,2015,163909,149501,14408
39,2016,163703,149368,14335
