PIT Count Year,Sheltered,Unsheltered,Total Unduplicated Individuals,Difference from Previous Year
01/31/2010 12:00:00 AM,1254,833,2087,
01/31/2011 12:00:00 AM,1358,1004,2362,275
01/31/2012 12:00:00 AM,1375,869,2244,-118
01/31/2013 12:00:00 AM,1325,765,2090,-154
01/31/2014 12:00:00 AM,1539,448,1987,-103
01/31/2015 12:00:00 AM,1165,667,1832,-155
01/31/2016 12:00:00 AM,1322,816,2138,306
01/31/2017 12:00:00 AM,1202,834,2036,-102
01/31/2018 12:00:00 AM,1133,1014,2147,111
01/31/2019 12:00:00 AM,1169,1086,2255,108
01/31/2020 12:00:00 AM,932,1574,2506,251
