Date,Overall Homeless,yhat_lower,yhat_upper
2015-01-31,23678.0,23678.0,23678.0
2015-02-28,23635.0,23635.0,23635.0
2015-03-31,23588.0,23588.0,23588.0
2015-04-30,23542.0,23542.0,23542.0
2015-05-31,23495.0,23495.0,23495.0
2015-06-30,23450.0,23450.0,23450.0
2015-07-31,23402.0,23402.0,23402.0
2015-08-31,23355.0,23355.0,23355.0
2015-09-30,23309.0,23309.0,23309.0
2015-10-31,23262.0,23262.0,23262.0
2015-11-30,23216.0,23216.0,23216.0
2015-12-31,23169.0,23169.0,23169.0
2016-01-31,23122.0,23122.0,23122.0
2016-02-29,23156.0,23156.0,23156.0
2016-03-31,23192.0,23192.0,23192.0
2016-04-30,23227.0,23227.0,23227.0
2016-05-31,23263.0,23263.0,23263.0
2016-06-30,23298.0,23298.0,23298.0
2016-07-31,23334.0,23334.0,23334.0
2016-08-31,23370.0,23370.0,23370.0
2016-09-30,23405.0,23405.0,23405.0
2016-10-31,23441.0,23441.0,23441.0
2016-11-30,23476.0,23476.0,23476.0
2016-12-31,23512.0,23512.0,23512.0
2017-01-31,23548.0,23548.0,23548.0
2017-02-28,23683.0,23683.0,23683.0
2017-03-31,23833.0,23833.0,23833.0
2017-04-30,23978.0,23978.0,23978.0
2017-05-31,24127.0,24127.0,24127.0
2017-06-30,24272.0,24272.0,24272.0
2017-07-31,24422.0,24422.0,24422.0
2017-08-31,24571.0,24571.0,24571.0
2017-09-30,24716.0,24716.0,24716.0
2017-10-31,24866.0,24866.0,24866.0
2017-11-30,25011.0,25011.0,25011.0
2017-12-31,25160.0,25160.0,25160.0
2018-01-31,25310.0,25310.0,25310.0
2018-02-28,25351.0,25351.0,25351.0
2018-03-31,25397.0,25397.0,25397.0
2018-04-30,25441.0,25441.0,25441.0
2018-05-31,25487.0,25487.0,25487.0
2018-06-30,25531.0,25531.0,25531.0
2018-07-31,25577.0,25577.0,25577.0
2018-08-31,25622.0,25622.0,25622.0
2018-09-30,25667.0,25667.0,25667.0
2018-10-31,25712.0,25712.0,25712.0
2018-11-30,25757.0,25757.0,25757.0
2018-12-31,25802.0,25802.0,25802.0
2019-01-31,25848.0,25848.0,25848.0
2019-02-28,25954.0,25954.0,25954.0
2019-03-31,26071.0,26071.0,26071.0
2019-04-30,26185.0,26185.0,26185.0
2019-05-31,26302.0,26302.0,26302.0
2019-06-30,26416.0,26416.0,26416.0
2019-07-31,26533.0,26533.0,26533.0
2019-08-31,26650.0,26650.0,26650.0
2019-09-30,26764.0,26764.0,26764.0
2019-10-31,26881.0,26881.0,26881.0
2019-11-30,26994.0,26994.0,26994.0
2019-12-31,27112.0,27112.0,27112.0
2020-01-31,27202.900241329167,27131.015257875464,27273.03176642234
2020-02-29,27209.02430888186,27067.439981189516,27354.07913876927
2020-03-31,27042.22899369356,26880.66641295043,27189.26160216689
2020-04-30,25776.11301480767,25595.4696822913,25971.120426030724
2020-05-31,26074.314567825204,25847.17964388107,26293.685932161738
2020-06-30,26403.993765673746,26106.46854830088,26708.447091469363
2020-07-31,26644.09579185983,26259.25827654908,27061.38850853384
2020-08-31,27131.525903625272,26637.13566280584,27646.747270365533
2020-09-30,27070.64532166988,26454.639668443226,27716.560476648945
2020-10-31,27286.313075042795,26509.772902056728,28036.218175541
2020-11-30,27369.080076769154,26470.899200318345,28297.819999546165
2020-12-31,27454.589975895466,26351.529420578783,28558.66957093084
2021-01-31,27449.21544280499,26191.862150113586,28834.21743237325
2021-02-28,27613.700679343117,26201.14436556577,29179.39810303348
2021-03-31,27658.400610242268,26039.989166268755,29396.17787361904
2021-04-30,27767.21975158944,25915.732153492685,29786.381847743723
2021-05-31,27873.04312533638,25858.945545528,30066.25535758837
2021-06-30,27983.853225157323,25811.14781347712,30384.32342217072
2021-07-31,28116.2638331318,25737.11643964026,30778.40693256442
2021-08-31,28231.662236139488,25620.30649445945,31082.46012726017
2021-09-30,27998.26700015065,25086.53586151996,31140.58995216468
