,pit_count_year,sheltered,unsheltered,total_unduplicated_individuals,difference_from_previous_year
0,01/31/2010 12:00:00 AM,1254,833,2087,
1,01/31/2011 12:00:00 AM,1358,1004,2362,275.0
2,01/31/2012 12:00:00 AM,1375,869,2244,-118.0
3,01/31/2013 12:00:00 AM,1325,765,2090,-154.0
4,01/31/2014 12:00:00 AM,1539,448,1987,-103.0
5,01/31/2015 12:00:00 AM,1165,667,1832,-155.0
6,01/31/2016 12:00:00 AM,1322,816,2138,306.0
7,01/31/2017 12:00:00 AM,1202,834,2036,-102.0
8,01/31/2018 12:00:00 AM,1133,1014,2147,111.0
9,01/31/2019 12:00:00 AM,1169,1086,2255,108.0
10,01/31/2020 12:00:00 AM,932,1574,2506,251.0
